Time	Ch0	Gen
8.04e-05	1.29976	0.08618924
8.08e-05	1.29976	0.08618924
8.12e-05	1.29976	0.08618924
8.16e-05	1.29976	0.08618924
8.2e-05	1.341724	0.08618924
8.24e-05	1.341724	0.08618924
8.28e-05	1.341724	0.08618924
8.32e-05	1.341724	0.08618924
8.36e-05	1.341724	0.08618924
8.4e-05	1.341724	0.08618924
8.44e-05	1.341724	0.08618924
8.48e-05	1.341724	0.1293158
8.52e-05	1.341724	0.1293158
8.56e-05	1.341724	0.1293158
8.6e-05	1.341724	0.1293158
8.64e-05	1.383687	0.1724423
8.68e-05	1.383687	0.1724423
8.72e-05	1.383687	0.1724423
8.76e-05	1.383687	0.2155688
8.8e-05	1.425651	0.2155688
8.84e-05	1.383687	0.2155688
8.88e-05	1.425651	0.2155688
8.92e-05	1.425651	0.2155688
8.96e-05	1.425651	0.3018219
9e-05	1.467614	0.2586953
9.04e-05	1.425651	0.2586953
9.08e-05	1.425651	0.2586953
9.12e-05	1.467614	0.2586953
9.16e-05	1.467614	0.2586953
9.2e-05	1.467614	0.2586953
9.24e-05	1.509578	0.2586953
9.28e-05	1.509578	0.2586953
9.32e-05	1.509578	0.2586953
9.36e-05	1.509578	0.2586953
9.4e-05	1.509578	0.3018219
9.44e-05	1.509578	0.3018219
9.48e-05	1.509578	0.2586953
9.52e-05	1.509578	0.3018219
9.56e-05	1.509578	0.3449484
9.6e-05	1.551541	0.2586953
9.64e-05	1.509578	0.3449484
9.68e-05	1.551541	0.3018219
9.72e-05	1.551541	0.3449484
9.76e-05	1.551541	0.3449484
9.8e-05	1.551541	0.3449484
9.84e-05	1.551541	0.3449484
9.88e-05	1.551541	0.3449484
9.92e-05	1.593505	0.3880749
9.96e-05	1.593505	0.4312014
0.0001	1.593505	0.3880749
0.0001004	1.593505	0.3880749
0.0001008	1.593505	0.4312014
0.0001012	1.593505	0.4312014
0.0001016	1.593505	0.4312014
0.000102	1.593505	0.4312014
0.0001024	1.593505	0.4312014
0.0001028	1.593505	0.4312014
0.0001032	1.635468	0.4312014
0.0001036	1.635468	0.474328
0.000104	1.635468	0.474328
0.0001044	1.635468	0.474328
0.0001048	1.635468	0.474328
0.0001052	1.635468	0.474328
0.0001056	1.677432	0.5174545
0.000106	1.635468	0.4312014
0.0001064	1.677432	0.474328
0.0001068	1.677432	0.5174545
0.0001072	1.677432	0.5174545
0.0001076	1.677432	0.5174545
0.000108	1.677432	0.5174545
0.0001084	1.677432	0.5174545
0.0001088	1.677432	0.560581
0.0001092	1.677432	0.560581
0.0001096	1.677432	0.6037075
0.00011	1.677432	0.560581
0.0001104	1.677432	0.6037075
0.0001108	1.677432	0.6037075
0.0001112	1.677432	0.6037075
0.0001116	1.677432	0.6037075
0.000112	1.677432	0.6037075
0.0001124	1.719395	0.6037075
0.0001128	1.719395	0.6037075
0.0001132	1.677432	0.646834
0.0001136	1.719395	0.6037075
0.000114	1.719395	0.6037075
0.0001144	1.719395	0.646834
0.0001148	1.719395	0.6037075
0.0001152	1.719395	0.646834
0.0001156	1.719395	0.646834
0.000116	1.719395	0.6037075
0.0001164	1.719395	0.646834
0.0001168	1.719395	0.646834
0.0001172	1.719395	0.6899606
0.0001176	1.761359	0.6899606
0.000118	1.719395	0.6899606
0.0001184	1.761359	0.646834
0.0001188	1.719395	0.6899606
0.0001192	1.761359	0.6899606
0.0001196	1.761359	0.7762136
0.00012	1.761359	0.6899606
0.0001204	1.761359	0.6899606
0.0001208	1.761359	0.6899606
0.0001212	1.761359	0.7330871
0.0001216	1.761359	0.6899606
0.000122	1.761359	0.7330871
0.0001224	1.761359	0.7330871
0.0001228	1.761359	0.7762136
0.0001232	1.761359	0.7762136
0.0001236	1.761359	0.7762136
0.000124	1.761359	0.7762136
0.0001244	1.803323	0.7762136
0.0001248	1.761359	0.7762136
0.0001252	1.761359	0.7762136
0.0001256	1.761359	0.7762136
0.000126	1.803323	0.7762136
0.0001264	1.803323	0.8193401
0.0001268	1.803323	0.8193401
0.0001272	1.761359	0.8193401
0.0001276	1.803323	0.8193401
0.000128	1.803323	0.8193401
0.0001284	1.803323	0.8193401
0.0001288	1.803323	0.8193401
0.0001292	1.761359	0.8193401
0.0001296	1.803323	0.9055932
0.00013	1.803323	0.8624667
0.0001304	1.803323	0.8624667
0.0001308	1.761359	0.8624667
0.0001312	1.803323	0.8624667
0.0001316	1.803323	0.8624667
0.000132	1.803323	0.8624667
0.0001324	1.761359	0.8624667
0.0001328	1.761359	0.9055932
0.0001332	1.803323	0.8624667
0.0001336	1.803323	0.9055932
0.000134	1.803323	0.9055932
0.0001344	1.803323	0.9055932
0.0001348	1.803323	0.9055932
0.0001352	1.845286	0.9487197
0.0001356	1.803323	0.9487197
0.000136	1.845286	0.8624667
0.0001364	1.803323	0.9487197
0.0001368	1.803323	0.9487197
0.0001372	1.803323	0.9487197
0.0001376	1.803323	0.9487197
0.000138	1.761359	0.9487197
0.0001384	1.803323	0.9487197
0.0001388	1.803323	0.9918462
0.0001392	1.803323	0.9918462
0.0001396	1.803323	1.034973
0.00014	1.803323	0.9918462
0.0001404	1.761359	0.9918462
0.0001408	1.803323	0.9918462
0.0001412	1.803323	0.9918462
0.0001416	1.803323	1.034973
0.000142	1.803323	0.9918462
0.0001424	1.803323	0.9918462
0.0001428	1.803323	1.034973
0.0001432	1.803323	0.9918462
0.0001436	1.803323	1.034973
0.000144	1.803323	1.034973
0.0001444	1.803323	1.034973
0.0001448	1.803323	0.9918462
0.0001452	1.803323	1.034973
0.0001456	1.803323	1.078099
0.000146	1.803323	0.9918462
0.0001464	1.803323	1.034973
0.0001468	1.761359	1.078099
0.0001472	1.761359	1.078099
0.0001476	1.761359	1.078099
0.000148	1.803323	1.034973
0.0001484	1.803323	1.078099
0.0001488	1.803323	1.121226
0.0001492	1.803323	1.078099
0.0001496	1.761359	1.164352
0.00015	1.761359	1.078099
0.0001504	1.761359	1.121226
0.0001508	1.803323	1.078099
0.0001512	1.761359	1.121226
0.0001516	1.761359	1.121226
0.000152	1.761359	1.121226
0.0001524	1.761359	1.121226
0.0001528	1.761359	1.121226
0.0001532	1.761359	1.121226
0.0001536	1.761359	1.121226
0.000154	1.761359	1.121226
0.0001544	1.719395	1.121226
0.0001548	1.761359	1.121226
0.0001552	1.761359	1.121226
0.0001556	1.761359	1.164352
0.000156	1.761359	1.121226
0.0001564	1.761359	1.164352
0.0001568	1.761359	1.164352
0.0001572	1.719395	1.164352
0.0001576	1.719395	1.164352
0.000158	1.719395	1.164352
0.0001584	1.719395	1.164352
0.0001588	1.719395	1.164352
0.0001592	1.761359	1.164352
0.0001596	1.719395	1.207479
0.00016	1.719395	1.207479
0.0001604	1.761359	1.207479
0.0001608	1.719395	1.207479
0.0001612	1.719395	1.207479
0.0001616	1.719395	1.207479
0.000162	1.719395	1.207479
0.0001624	1.719395	1.207479
0.0001628	1.677432	1.207479
0.0001632	1.677432	1.207479
0.0001636	1.719395	1.207479
0.000164	1.719395	1.207479
0.0001644	1.719395	1.207479
0.0001648	1.677432	1.207479
0.0001652	1.719395	1.250605
0.0001656	1.719395	1.207479
0.000166	1.677432	1.164352
0.0001664	1.719395	1.250605
0.0001668	1.677432	1.250605
0.0001672	1.677432	1.250605
0.0001676	1.677432	1.250605
0.000168	1.677432	1.250605
0.0001684	1.677432	1.250605
0.0001688	1.677432	1.250605
0.0001692	1.677432	1.293732
0.0001696	1.635468	1.293732
0.00017	1.635468	1.250605
0.0001704	1.677432	1.293732
0.0001708	1.635468	1.293732
0.0001712	1.593505	1.293732
0.0001716	1.635468	1.293732
0.000172	1.635468	1.293732
0.0001724	1.635468	1.293732
0.0001728	1.635468	1.293732
0.0001732	1.635468	1.293732
0.0001736	1.635468	1.293732
0.000174	1.593505	1.293732
0.0001744	1.593505	1.293732
0.0001748	1.593505	1.293732
0.0001752	1.593505	1.293732
0.0001756	1.593505	1.293732
0.000176	1.593505	1.293732
0.0001764	1.551541	1.293732
0.0001768	1.551541	1.293732
0.0001772	1.593505	1.293732
0.0001776	1.551541	1.293732
0.000178	1.551541	1.336858
0.0001784	1.551541	1.293732
0.0001788	1.551541	1.293732
0.0001792	1.551541	1.293732
0.0001796	1.551541	1.293732
0.00018	1.551541	1.293732
0.0001804	1.551541	1.293732
0.0001808	1.509578	1.293732
0.0001812	1.551541	1.293732
0.0001816	1.551541	1.293732
0.000182	1.551541	1.379985
0.0001824	1.509578	1.293732
0.0001828	1.509578	1.336858
0.0001832	1.509578	1.379985
0.0001836	1.509578	1.293732
0.000184	1.509578	1.336858
0.0001844	1.509578	1.336858
0.0001848	1.467614	1.336858
0.0001852	1.425651	1.336858
0.0001856	1.467614	1.336858
0.000186	1.425651	1.336858
0.0001864	1.425651	1.336858
0.0001868	1.425651	1.336858
0.0001872	1.425651	1.293732
0.0001876	1.425651	1.336858
0.000188	1.425651	1.336858
0.0001884	1.425651	1.379985
0.0001888	1.383687	1.336858
0.0001892	1.383687	1.379985
0.0001896	1.383687	1.379985
0.00019	1.383687	1.336858
0.0001904	1.383687	1.336858
0.0001908	1.383687	1.293732
0.0001912	1.383687	1.336858
0.0001916	1.341724	1.336858
0.000192	1.341724	1.379985
0.0001924	1.341724	1.336858
0.0001928	1.341724	1.336858
0.0001932	1.341724	1.336858
0.0001936	1.341724	1.336858
0.000194	1.341724	1.336858
0.0001944	1.29976	1.293732
0.0001948	1.341724	1.336858
0.0001952	1.29976	1.336858
0.0001956	1.341724	1.293732
0.000196	1.29976	1.336858
0.0001964	1.29976	1.336858
0.0001968	1.257796	1.336858
0.0001972	1.257796	1.293732
0.0001976	1.257796	1.293732
0.000198	1.29976	1.336858
0.0001984	1.257796	1.336858
0.0001988	1.257796	1.336858
0.0001992	1.257796	1.336858
0.0001996	1.257796	1.336858
0.0002	1.215833	1.336858
0.0002004	1.215833	1.336858
0.0002008	1.215833	1.379985
0.0002012	1.215833	1.379985
0.0002016	1.173869	1.336858
0.000202	1.215833	1.336858
0.0002024	1.173869	1.336858
0.0002028	1.173869	1.379985
0.0002032	1.173869	1.336858
0.0002036	1.173869	1.336858
0.000204	1.173869	1.336858
0.0002044	1.173869	1.379985
0.0002048	1.173869	1.336858
0.0002052	1.173869	1.336858
0.0002056	1.173869	1.379985
0.000206	1.131906	1.336858
0.0002064	1.131906	1.336858
0.0002068	1.089942	1.336858
0.0002072	1.089942	1.336858
0.0002076	1.131906	1.379985
0.000208	1.089942	1.293732
0.0002084	1.089942	1.336858
0.0002088	1.089942	1.336858
0.0002092	1.089942	1.379985
0.0002096	1.089942	1.293732
0.00021	1.047979	1.336858
0.0002104	1.047979	1.336858
0.0002108	1.047979	1.336858
0.0002112	1.047979	1.336858
