Frequency	dBVrms
88750.000000	-17.794039
89000.000000	-17.664105
89250.000000	-17.670374
89500.000000	-17.471344
89750.000000	-17.813735
90000.000000	-17.246184
90250.000000	-17.323647
90500.000000	-16.900577
90750.000000	-17.374723
91000.000000	-17.571525
91250.000000	-17.397883
91500.000000	-17.597440
91750.000000	-18.049697
92000.000000	-17.440447
92250.000000	-17.330454
92500.000000	-16.828029
92750.000000	-17.489194
93000.000000	-18.077274
93250.000000	-17.717222
93500.000000	-17.638342
93750.000000	-17.520660
94000.000000	-17.497795
94250.000000	-17.320424
94500.000000	-17.289453
94750.000000	-17.061844
95000.000000	-17.068213
95250.000000	-17.750128
95500.000000	-17.869109
95750.000000	-17.597499
96000.000000	-16.749221
96250.000000	-17.662279
96500.000000	-17.041586
96750.000000	-17.174863
97000.000000	-17.267278
97250.000000	-17.442707
97500.000000	-17.046166
97750.000000	-17.082984
98000.000000	-17.011101
98250.000000	-16.827027
98500.000000	-17.278081
98750.000000	-17.453546
99000.000000	-17.313769
99250.000000	-16.969097
99500.000000	-17.120412
99750.000000	-16.543864
100000.000000	-16.546017
100250.000000	-17.157144
100500.000000	-17.157382
100750.000000	-16.710513
101000.000000	-16.804952
101250.000000	-17.100074
101500.000000	-16.766538
101750.000000	-16.826542
102000.000000	-17.005860
102250.000000	-16.320199
102500.000000	-16.564916
102750.000000	-16.512166
103000.000000	-16.746623
103250.000000	-17.104067
103500.000000	-16.796719
103750.000000	-16.944196
104000.000000	-16.701442
104250.000000	-16.024978
104500.000000	-16.868153
104750.000000	-16.452978
105000.000000	-16.919012
105250.000000	-16.909580
105500.000000	-16.308068
105750.000000	-16.539752
106000.000000	-16.976079
106250.000000	-17.078458
106500.000000	-16.618752
106750.000000	-17.342616
107000.000000	-16.858453
107250.000000	-17.008478
107500.000000	-16.751781
107750.000000	-16.628216
108000.000000	-16.846779
108250.000000	-16.532869
108500.000000	-17.164743
108750.000000	-17.233866
109000.000000	-16.798457
109250.000000	-17.093933
109500.000000	-17.226509
109750.000000	-17.244292
110000.000000	-17.164936
110250.000000	-17.227476
110500.000000	-17.839287
110750.000000	-18.305007
111000.000000	-17.686358
111250.000000	-18.421270
111500.000000	-18.553050
111750.000000	-18.433015
112000.000000	-18.580146
112250.000000	-18.897551
112500.000000	-19.192142
112750.000000	-19.216981
113000.000000	-19.618014
113250.000000	-19.995589
113500.000000	-20.407965
113750.000000	-20.411298
114000.000000	-20.734528
114250.000000	-21.268936
114500.000000	-21.543765
114750.000000	-21.886616
115000.000000	-22.671715
115250.000000	-22.906553
115500.000000	-22.791443
115750.000000	-23.419478
116000.000000	-24.014815
116250.000000	-24.307312
116500.000000	-25.367631
116750.000000	-25.065175
117000.000000	-25.333831
117250.000000	-25.865861
117500.000000	-25.986693
117750.000000	-26.427374
118000.000000	-26.657107
118250.000000	-27.221453
118500.000000	-27.297664
118750.000000	-27.745838
119000.000000	-27.758385
119250.000000	-28.316729
119500.000000	-28.326348
119750.000000	-29.025621
120000.000000	-28.819883
120250.000000	-29.811878
120500.000000	-29.832710
120750.000000	-30.314276
121000.000000	-31.013662
121250.000000	-30.813585
121500.000000	-31.132018
121750.000000	-31.498811
122000.000000	-31.997172
122250.000000	-32.518899
122500.000000	-32.580050
122750.000000	-32.689684
123000.000000	-33.081497
123250.000000	-33.690544
123500.000000	-33.401783
123750.000000	-33.377960
124000.000000	-34.248235
124250.000000	-34.147845
124500.000000	-33.966173
124750.000000	-34.767454
125000.000000	-34.970030
125250.000000	-35.393701
125500.000000	-35.337281
125750.000000	-35.497156
126000.000000	-36.312669
126250.000000	-35.509087
126500.000000	-36.813044
126750.000000	-36.126348
127000.000000	-36.432762
127250.000000	-36.840832
127500.000000	-37.867266
127750.000000	-37.492364
128000.000000	-37.717018
128250.000000	-37.885502
128500.000000	-38.606379
128750.000000	-38.903987
129000.000000	-38.770554
129250.000000	-38.488249
129500.000000	-39.095610
129750.000000	-39.034039
130000.000000	-39.351596
130250.000000	-39.698510
130500.000000	-39.708119
130750.000000	-39.863921
131000.000000	-40.258340
131250.000000	-40.464364
131500.000000	-40.397442
131750.000000	-40.749015
132000.000000	-40.815857
132250.000000	-41.051850
132500.000000	-40.708339
132750.000000	-41.315630
133000.000000	-41.844679
133250.000000	-41.491568
133500.000000	-41.793636
133750.000000	-42.133564
134000.000000	-42.473234
134250.000000	-42.381380
134500.000000	-42.111317
134750.000000	-42.317442
135000.000000	-42.561093
135250.000000	-43.007048
135500.000000	-43.248032
135750.000000	-43.225895
136000.000000	-43.580045
136250.000000	-43.497006
136500.000000	-43.283869
136750.000000	-44.056045
137000.000000	-43.374808
137250.000000	-43.705058
137500.000000	-44.262854
137750.000000	-44.373087
138000.000000	-44.377053
138250.000000	-45.151363
138500.000000	-45.273421
138750.000000	-45.055601
139000.000000	-44.909546
139250.000000	-45.381847
139500.000000	-45.649448
139750.000000	-45.532334
140000.000000	-45.127130
140250.000000	-45.584173
140500.000000	-45.834581
140750.000000	-45.933348
141000.000000	-45.950687
141250.000000	-46.130779
141500.000000	-46.604114
141750.000000	-46.210662
142000.000000	-46.385855
142250.000000	-46.767146
142500.000000	-46.471682
142750.000000	-47.140658
143000.000000	-47.130945
143250.000000	-47.439582
143500.000000	-46.818864
143750.000000	-47.067751
144000.000000	-47.467496
144250.000000	-47.602098
144500.000000	-47.113294
144750.000000	-48.071864
145000.000000	-47.755239
145250.000000	-47.807251
145500.000000	-47.749551
145750.000000	-47.773254
146000.000000	-48.136590
146250.000000	-48.015128
146500.000000	-48.460793
146750.000000	-48.573299
147000.000000	-48.451406
147250.000000	-48.870663
147500.000000	-48.561935
147750.000000	-48.600200
148000.000000	-48.817734
148250.000000	-48.569353
148500.000000	-48.956336
148750.000000	-49.035727
149000.000000	-49.268261
149250.000000	-49.371077
149500.000000	-49.915537
149750.000000	-49.012359
150000.000000	-49.918555
150250.000000	-49.855851
150500.000000	-49.444319
150750.000000	-49.505272
151000.000000	-49.802446
151250.000000	-49.761915
151500.000000	-50.119062
151750.000000	-49.874490
152000.000000	-49.644327
152250.000000	-50.141940
152500.000000	-50.062401
152750.000000	-50.161052
153000.000000	-50.865119
153250.000000	-50.184609
153500.000000	-50.995526
153750.000000	-50.437223
154000.000000	-50.575150
154250.000000	-50.695035
154500.000000	-50.593187
154750.000000	-50.364599
155000.000000	-50.744451
155250.000000	-50.582900
155500.000000	-50.545008
155750.000000	-50.811974
156000.000000	-51.460326
156250.000000	-51.339978
156500.000000	-51.281753
156750.000000	-51.247026
157000.000000	-51.760019
157250.000000	-50.862759
