waveform	Source signal	
t0	2/25/2020  12:10:15.106203	
delta t	1.250000E-5	

time[0]	Source signal
2/25/2020  12:10:15.109365	8.369271E-1
2/25/2020  12:10:15.109378	5.816160E-1
2/25/2020  12:10:15.109390	-7.800428E-1
2/25/2020  12:10:15.109403	-6.949391E-1
2/25/2020  12:10:15.109415	5.816160E-1
2/25/2020  12:10:15.109428	8.369271E-1
2/25/2020  12:10:15.109440	-6.098354E-1
2/25/2020  12:10:15.109453	-7.800428E-1
2/25/2020  12:10:15.109465	6.667197E-1
2/25/2020  12:10:15.109478	6.667197E-1
2/25/2020  12:10:15.109490	-8.651464E-1
2/25/2020  12:10:15.109503	-1.843170E-1
2/25/2020  12:10:15.109515	1.007134E+0
2/25/2020  12:10:15.109528	-5.247317E-1
2/25/2020  12:10:15.109540	-5.247317E-1
2/25/2020  12:10:15.109553	1.007134E+0
2/25/2020  12:10:15.109565	-6.949391E-1
2/25/2020  12:10:15.109578	-9.921336E-2
2/25/2020  12:10:15.109590	7.518234E-1
2/25/2020  12:10:15.109603	-9.502501E-1
2/25/2020  12:10:15.109615	6.667197E-1
2/25/2020  12:10:15.109628	-9.921336E-2
2/25/2020  12:10:15.109640	-6.098354E-1
2/25/2020  12:10:15.109653	9.220307E-1
2/25/2020  12:10:15.109665	-8.651464E-1
2/25/2020  12:10:15.109678	3.263050E-1
2/25/2020  12:10:15.109690	4.114087E-1
2/25/2020  12:10:15.109703	-9.502501E-1
2/25/2020  12:10:15.109715	8.369271E-1
2/25/2020  12:10:15.109728	-1.410969E-2
2/25/2020  12:10:15.109740	-7.800428E-1
2/25/2020  12:10:15.109753	8.369271E-1
2/25/2020  12:10:15.109765	1.560977E-1
2/25/2020  12:10:15.109778	-9.502501E-1
2/25/2020  12:10:15.109790	4.114087E-1
2/25/2020  12:10:15.109803	8.369271E-1
2/25/2020  12:10:15.109815	-6.098354E-1
2/25/2020  12:10:15.109828	-7.800428E-1
2/25/2020  12:10:15.109840	6.667197E-1
2/25/2020  12:10:15.109853	7.518234E-1
2/25/2020  12:10:15.109865	-6.098354E-1
2/25/2020  12:10:15.109878	-8.651464E-1
2/25/2020  12:10:15.109890	4.965124E-1
2/25/2020  12:10:15.109903	8.369271E-1
2/25/2020  12:10:15.109915	-3.545244E-1
2/25/2020  12:10:15.109928	-9.502501E-1
2/25/2020  12:10:15.109940	4.114087E-1
2/25/2020  12:10:15.109953	8.369271E-1
2/25/2020  12:10:15.109965	-6.949391E-1
2/25/2020  12:10:15.109978	-5.247317E-1
2/25/2020  12:10:15.109990	9.220307E-1
2/25/2020  12:10:15.110003	-9.921336E-2
2/25/2020  12:10:15.110015	-7.800428E-1
2/25/2020  12:10:15.110028	9.220307E-1
2/25/2020  12:10:15.110040	-2.694207E-1
2/25/2020  12:10:15.110053	-6.098354E-1
2/25/2020  12:10:15.110065	1.007134E+0
2/25/2020  12:10:15.110078	-7.800428E-1
